Age,Gender,MaritalStatus,GSS_Office_Branch,GSS_Job_Role,Monthly_Base_Salary_PHP,Hourly_Base_Rate_PHP,PSA_Core_Inflation_Percent,NCR_Statutory_Wage_Floor_PHP,OverTime,JobInvolvement,StandardHours,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
26,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Global Mobility Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,4,3,3,7,7,7,5,false
34,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,3,80,1,4,3,2,11,7,1,0,true
26,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,4,80,4,3,1,3,8,7,7,7,false
26,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,false,3,80,1,3,4,2,8,7,7,7,false
36,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),35000.0,201.15,4.4,780.0,false,3,80,2,4,3,2,13,8,7,7,false
36,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,2,1,3,8,8,1,1,false
43,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,3,1,3,9,8,7,1,false
32,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),35000.0,201.15,4.4,780.0,false,3,80,2,3,3,3,8,8,0,0,false
39,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,3,3,1,3,8,8,3,0,false
43,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,3,4,2,3,10,8,7,4,false
32,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,3,4,2,3,10,8,7,7,false
35,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,2,80,3,4,2,3,10,8,0,1,false
26,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Global Mobility Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,4,80,4,1,2,3,8,8,7,0,false
34,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,2,1,3,10,8,7,7,false
40,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,3,3,4,11,8,7,0,false
29,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,2,80,3,4,4,3,10,9,5,0,false
34,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,1,80,3,1,4,3,9,9,7,0,true
33,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Global Mobility Officer (HR Admin I),32000.0,183.91,4.4,780.0,false,3,80,1,1,1,4,13,9,7,1,true
42,Female,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,true,2,80,1,4,3,3,10,9,6,7,false
36,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,2,3,3,11,9,8,0,false
43,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,3,3,2,4,9,9,7,0,false
45,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,3,2,2,9,9,7,0,false
45,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,true,3,80,1,4,3,3,9,9,8,0,false
30,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,1,1,3,10,9,2,6,false
28,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,1,80,4,3,1,3,10,9,8,7,false
35,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,4,2,3,10,9,7,0,false
49,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,false,3,80,1,3,4,2,10,9,6,1,false
39,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,4,4,3,9,9,8,5,false
30,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,2,80,3,4,1,3,10,10,0,1,false
38,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,4,4,3,10,10,3,9,false
30,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,2,80,4,4,3,2,10,10,8,3,false
55,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,2,4,3,12,10,7,0,false
28,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,3,80,1,3,4,3,10,10,0,1,false
32,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,1,4,3,10,10,8,4,false
29,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,2,1,3,10,10,8,0,false
30,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,3,1,2,10,10,7,8,false
32,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,4,1,3,10,10,4,1,true
36,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,1,3,2,10,10,4,1,false
29,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,true,3,80,1,2,4,3,10,10,9,1,false
35,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,4,80,3,2,4,2,10,10,9,6,false
45,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,true,1,80,1,3,1,3,10,10,7,1,false
39,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,3,3,4,3,11,10,8,0,false
31,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,2,1,3,10,10,8,0,false
40,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,4,1,4,10,10,9,9,false
56,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,3,4,4,1,14,10,9,9,true
30,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,3,3,2,12,11,7,6,false
36,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Global Mobility Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,3,3,3,3,16,11,8,3,false
34,Female,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,3,3,4,15,11,8,5,false
29,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,4,2,4,11,11,8,3,false
30,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,3,4,3,12,12,8,3,false
30,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,3,80,1,3,3,3,12,12,9,6,false
42,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,1,3,3,12,12,9,5,false
30,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Contracts & Benefits Officer (HR Admin I),35000.0,201.15,4.4,780.0,false,3,80,2,4,3,2,12,12,8,1,false
36,Male,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,4,4,4,16,13,11,3,false
33,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),35000.0,201.15,4.4,780.0,false,4,80,2,2,4,3,14,14,11,2,false
36,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,false,3,80,4,4,3,3,16,15,13,10,false
33,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,3,2,2,3,15,15,14,5,false
34,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,2,3,4,15,15,10,4,false
45,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,3,80,2,2,3,1,20,17,9,0,false
36,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,false,4,80,1,3,3,3,18,17,13,15,true
37,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,false,3,80,1,4,3,2,18,18,7,12,false
41,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Contracts & Benefits Officer (HR Admin I),32000.0,183.91,4.4,780.0,true,3,80,1,4,3,3,20,18,13,2,false
50,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Contracts & Benefits Officer (HR Admin I),40000.0,229.89,4.4,780.0,true,4,80,3,4,3,3,20,20,8,3,false
45,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,72000.0,413.79,4.4,780.0,false,3,80,1,1,1,3,24,24,9,9,false
49,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,75000.0,431.03,4.4,780.0,false,3,80,2,1,3,2,29,26,9,1,false
48,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,1,2,1,15,0,0,0,false
45,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),200000.0,1149.43,4.4,780.0,false,3,80,2,2,3,3,22,0,0,0,false
41,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,3,80,4,4,3,3,16,1,0,0,false
57,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,2,80,4,1,3,2,32,1,0,0,false
42,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,3,4,2,4,21,1,0,0,false
49,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,2,80,3,1,3,4,23,1,0,0,false
50,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,true,3,80,3,3,3,3,27,1,0,0,false
42,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,2,80,4,4,4,3,24,1,0,0,false
58,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,4,4,3,2,29,1,0,0,false
46,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),175000.0,1149.43,4.4,780.0,false,3,80,1,2,4,2,22,2,2,2,false
44,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,true,3,80,4,4,1,4,26,2,2,0,false
50,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,false,3,80,1,4,3,3,32,2,2,2,false
48,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,2,80,4,3,2,3,23,2,2,2,false
51,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,1,4,3,15,2,2,2,false
59,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,2,80,4,3,4,3,30,3,2,2,false
48,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,false,2,80,1,4,1,1,21,3,2,0,false
47,Female,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,false,4,80,2,2,3,3,29,3,2,1,false
55,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,3,4,3,3,21,5,0,0,false
54,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,4,80,4,4,3,3,23,5,3,4,false
50,Female,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),200000.0,1149.43,4.4,780.0,false,3,80,2,3,2,3,21,5,4,4,false
55,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,4,3,3,3,30,5,4,1,false
52,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,4,4,4,1,31,5,2,1,false
31,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,2,80,4,3,3,2,10,5,4,0,false
55,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),175000.0,1149.43,4.4,780.0,true,3,80,1,4,4,3,24,5,2,1,true
48,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,4,80,4,1,3,2,27,5,4,2,false
56,Female,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),175000.0,1149.43,4.4,780.0,false,3,80,1,4,4,3,28,5,2,4,false
32,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,4,3,2,4,10,5,2,0,false
47,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,3,4,3,3,27,5,2,1,false
59,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,3,80,4,2,3,1,14,6,4,0,false
39,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,4,4,3,2,21,6,0,1,false
41,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,false,2,80,1,4,2,2,21,7,6,7,false
50,Female,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,4,4,3,2,32,7,0,0,false
46,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,true,1,80,2,3,2,2,28,7,7,7,false
35,Female,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,75000.0,431.03,4.4,780.0,false,4,80,2,2,2,2,10,7,7,6,false
33,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,90000.0,517.24,4.4,780.0,true,3,80,3,2,4,4,15,7,6,7,true
53,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,3,4,2,3,26,7,7,4,false
56,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),200000.0,1149.43,4.4,780.0,false,3,80,2,4,1,3,36,7,3,7,false
49,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,3,3,1,3,23,8,7,0,false
52,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,4,4,2,2,26,9,8,7,false
45,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,4,4,2,4,26,9,3,1,false
55,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,false,2,80,1,3,2,4,31,9,7,6,false
30,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,72000.0,413.79,4.4,780.0,true,3,80,1,2,4,3,9,9,1,0,false
47,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,75000.0,431.03,4.4,780.0,true,3,80,2,1,4,2,10,10,7,9,true
33,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,75000.0,431.03,4.4,780.0,false,3,80,2,4,2,3,12,10,6,8,false
55,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,false,3,80,2,1,4,3,37,10,9,7,false
33,Male,Single,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,3,4,4,3,10,10,8,6,false
54,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,3,2,3,3,36,10,8,4,false
55,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),200000.0,1149.43,4.4,780.0,true,4,80,2,3,1,3,35,10,9,1,false
34,Female,Single,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,72000.0,413.79,4.4,780.0,false,2,80,1,3,4,3,14,11,10,5,false
46,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),200000.0,1149.43,4.4,780.0,false,2,80,2,4,3,3,26,11,4,0,false
46,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,3,1,4,3,23,12,9,4,false
46,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,false,3,80,2,3,4,4,23,13,12,5,false
53,Female,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,3,3,4,2,26,14,13,4,false
54,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,4,2,1,3,26,14,9,1,false
58,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,false,3,80,2,2,4,2,37,16,9,14,false
43,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,2,80,3,1,4,3,21,16,12,6,false
43,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,4,4,3,3,22,17,13,1,false
53,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,3,3,3,4,22,17,13,15,false
41,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,false,3,80,1,2,2,3,22,18,16,11,false
39,Female,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,true,2,80,2,3,4,3,21,19,9,15,false
55,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,1,80,3,4,4,3,23,19,9,9,false
40,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,false,3,80,1,1,1,3,22,19,7,11,false
40,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,3,4,2,3,21,20,8,9,false
45,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,2,80,4,1,4,3,22,20,8,11,false
40,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,3,3,4,3,21,20,15,1,false
51,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,3,1,3,2,29,20,6,4,false
42,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,3,3,4,2,21,20,8,2,false
42,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,false,3,80,1,3,3,3,21,20,7,0,false
39,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,true,3,80,1,3,4,3,21,21,9,11,false
39,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,2,80,4,3,1,3,21,21,9,13,false
39,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,true,3,80,3,2,3,3,21,21,8,1,false
41,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,2,80,4,2,2,2,23,21,6,12,false
40,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,4,3,4,3,21,21,7,7,false
40,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),200000.0,1149.43,4.4,780.0,false,3,80,2,2,2,2,21,21,8,12,false
42,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,4,3,4,3,22,22,17,11,false
41,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),150000.0,862.07,4.4,780.0,false,3,80,2,4,2,3,22,22,10,0,false
41,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,2,80,3,4,2,3,22,22,7,2,false
42,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),120000.0,862.07,4.4,780.0,false,3,80,1,4,4,3,23,22,6,13,false
44,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),200000.0,1149.43,4.4,780.0,false,3,80,2,2,3,3,26,22,9,3,false
48,Female,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,3,80,4,4,2,3,24,22,17,4,false
42,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,3,1,1,2,24,22,6,4,false
45,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,4,80,4,3,3,3,25,24,0,1,false
42,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),GSS Operations Director (Head),250000.0,1149.43,4.4,780.0,false,3,80,4,2,2,2,24,24,7,14,false
45,Female,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),200000.0,1149.43,4.4,780.0,true,1,80,2,1,1,3,26,24,10,1,true
53,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,false,2,80,4,1,3,3,31,25,8,3,false
43,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,4,3,4,4,25,25,12,4,false
44,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),175000.0,1149.43,4.4,780.0,false,4,80,1,3,4,2,26,25,9,14,false
47,Female,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),GSS Operations Director (Head),170000.0,862.07,4.4,780.0,true,3,80,4,3,3,2,26,26,14,3,false
